cpus,batch_size,total_batches,no_params,epoch_no,duration
4,32,1563,41206970,4,22.70709252357483
4,32,1563,41206970,4,21.699105978012085
4,32,1563,41206970,4,23.691417694091797
4,32,1563,41206970,4,24.59988045692444
4,32,1563,41206970,4,21.90165376663208
4,32,1563,29787522,0,22.007580280303955
4,32,1563,29787522,0,24.897934675216675
4,32,1563,29787522,0,27.498405933380127
4,32,1563,29787522,0,22.196897983551025
4,32,1563,29787522,0,21.700648069381714
4,32,1563,29787522,0,22.297693252563477
4,32,1563,29787522,0,24.201215982437134
4,32,1563,29787522,0,21.300848722457886
4,32,1563,29787522,0,21.600271701812744
4,32,1563,29787522,0,22.500455379486084
4,32,1563,29787522,0,22.499791383743286
4,32,1563,29787522,1,21.50165581703186
4,32,1563,29787522,1,22.599884748458862
4,32,1563,29787522,1,23.285698175430298
4,32,1563,29787522,1,24.504436492919922
4,32,1563,29787522,1,20.909183263778687
4,32,1563,29787522,1,20.799964427947998
4,32,1563,29787522,1,20.497181177139282
4,32,1563,29787522,1,25.300634384155273
4,32,1563,29787522,1,21.10354518890381
4,32,1563,29787522,1,21.90303897857666
4,32,1563,29787522,1,20.192976474761963
4,32,1563,29787522,2,22.101318836212158
4,32,1563,29787522,2,22.58760356903076
4,32,1563,29787522,2,20.600619554519653
4,32,1563,29787522,2,19.995091915130615
4,32,1563,29787522,2,20.400062322616577
4,32,1563,29787522,2,20.998635292053223
4,32,1563,29787522,2,18.599176168441772
4,32,1563,29787522,2,22.797321319580078
4,32,1563,29787522,2,21.100769758224487
4,32,1563,29787522,2,20.69513773918152
4,32,1563,29787522,2,18.699337005615234
4,32,1563,29787522,3,21.589686393737793
4,32,1563,29787522,3,20.500205278396606
4,32,1563,29787522,3,20.60093331336975
4,32,1563,29787522,3,22.800588607788086
4,32,1563,29787522,3,21.502246379852295
4,32,1563,29787522,3,21.212007761001587
4,32,1563,29787522,3,22.704195261001587
4,32,1563,29787522,3,20.800785064697266
4,32,1563,29787522,3,22.000167846679688
4,32,1563,29787522,3,23.300963401794434
4,32,1563,29787522,3,23.08750867843628
4,32,1563,29787522,4,21.501220226287842
4,32,1563,29787522,4,23.590354919433594
4,32,1563,29787522,4,21.10086464881897
4,32,1563,29787522,4,24.790034532546997
4,32,1563,29787522,4,20.800509929656982
4,32,1563,29787522,4,21.801085710525513
4,32,1563,29787522,4,22.90079975128174
4,32,1563,29787522,4,21.903424978256226
4,32,1563,29787522,4,20.599773406982422
4,32,1563,29787522,4,22.590017318725586
4,32,1563,29787522,4,21.298030614852905
4,64,782,57044810,0,21.89676070213318
4,64,782,57044810,0,21.29184603691101
4,64,782,57044810,0,21.199820041656494
4,64,782,57044810,0,20.79603409767151
4,64,782,57044810,0,18.598206520080566
4,64,782,57044810,0,20.296116828918457
4,64,782,57044810,0,19.299320936203003
4,64,782,57044810,0,21.400700092315674
4,64,782,57044810,0,20.003326416015625
4,64,782,57044810,0,18.09307312965393
4,64,782,57044810,0,18.999088764190674
4,64,782,57044810,1,20.901113271713257
4,64,782,57044810,1,18.695297241210938
4,64,782,57044810,1,18.89961266517639
